group,variable,value
id,1,1
name,1,A_lifeis
user_id,1,124827332
followers,1,490
friends,1,265
verified,1,0
created_at,1,2010-03-20 18:14:13.000000
statuses,1,41686
id,2,2
name,2,TheWriteSteph
user_id,2,138281573
followers,2,3884
friends,2,4994
verified,2,0
created_at,2,2010-04-29 03:27:19.000000
statuses,2,152625
id,3,3
name,3,Trevenclaw
user_id,3,177265188
followers,3,375
friends,3,1057
verified,3,0
created_at,3,2010-08-11 17:54:50.000000
statuses,3,35687
id,4,4
name,4,SidelineWitness
user_id,4,835110147290775554
followers,4,40
friends,4,144
verified,4,0
created_at,4,2017-02-24 12:52:29.000000
statuses,4,4827
id,5,5
name,5,AkeemJWright
user_id,5,1522334604136308740
followers,5,80
friends,5,74
verified,5,0
created_at,5,2022-05-05 21:57:23.000000
statuses,5,69
id,6,6
name,6,Leodu84
user_id,6,2159697685
followers,6,1055
friends,6,2126
verified,6,0
created_at,6,2013-10-27 21:54:54.000000
statuses,6,97949
id,7,7
name,7,Juxseries
user_id,7,1080191701459890183
followers,7,905
friends,7,2757
verified,7,0
created_at,7,2019-01-01 19:59:05.000000
statuses,7,74713
id,8,8
name,8,esty06
user_id,8,66332964
followers,8,1013
friends,8,825
verified,8,0
created_at,8,2009-08-17 11:25:44.000000
statuses,8,128008
id,9,9
name,9,Tajima_Kazuki93
user_id,9,1542844362
followers,9,788
friends,9,2821
verified,9,0
created_at,9,2013-06-24 09:04:55.000000
statuses,9,6721
id,10,10
name,10,Lolo__Nor
user_id,10,3301547466
followers,10,252
friends,10,426
verified,10,0
created_at,10,2015-07-30 14:31:27.000000
statuses,10,24655
id,11,11
name,11,miaerr83
user_id,11,924567683831607298
followers,11,213
friends,11,200
verified,11,0
created_at,11,2017-10-29 09:24:48.000000
statuses,11,9869
id,12,12
name,12,misspriscillia
user_id,12,105257742
followers,12,399
friends,12,875
verified,12,0
created_at,12,2010-01-15 21:13:39.000000
statuses,12,44667
id,13,13
name,13,dianee_23
user_id,13,1321088147804049408
followers,13,146
friends,13,279
verified,13,0
created_at,13,2020-10-27 13:55:48.000000
statuses,13,2000
id,14,14
name,14,StarkVideo
user_id,14,1234648111240314882
followers,14,346
friends,14,2510
verified,14,0
created_at,14,2020-03-03 01:13:56.000000
statuses,14,97
id,15,15
name,15,SamCineSerie
user_id,15,1364871922861961217
followers,15,46
friends,15,126
verified,15,0
created_at,15,2021-02-25 09:37:04.000000
statuses,15,598
id,16,16
name,16,LesAutresCNous
user_id,16,1500416654072848386
followers,16,15
friends,16,98
verified,16,0
created_at,16,2022-03-06 10:23:19.000000
statuses,16,683
id,17,17
name,17,Arnaaud91
user_id,17,1337539099
followers,17,739
friends,17,343
verified,17,0
created_at,17,2013-04-08 20:25:27.000000
statuses,17,78532
id,18,18
name,18,RShojun
user_id,18,1408108436911439887
followers,18,110
friends,18,584
verified,18,0
created_at,18,2021-06-24 17:03:18.000000
statuses,18,452
id,19,19
name,19,Lucy__xxii
user_id,19,1031646069036343298
followers,19,99
friends,19,72
verified,19,0
created_at,19,2018-08-20 20:56:04.000000
statuses,19,33716
id,20,20
name,20,obrienperales
user_id,20,856604900
followers,20,1237
friends,20,887
verified,20,0
created_at,20,2012-10-01 16:05:52.000000
statuses,20,50168
id,21,21
name,21,AlizeeRafali
user_id,21,1129084148122042369
followers,21,27
friends,21,18
verified,21,0
created_at,21,2019-05-16 18:00:13.000000
statuses,21,1273
id,22,22
name,22,duaaxgmz
user_id,22,3740518276
followers,22,735
friends,22,721
verified,22,0
created_at,22,2015-09-22 16:22:31.000000
statuses,22,66007
id,23,23
name,23,JujuKerol
user_id,23,774208831
followers,23,598
friends,23,252
verified,23,0
created_at,23,2012-08-22 18:12:09.000000
statuses,23,55527
id,24,24
name,24,redingirl
user_id,24,1155647955661205504
followers,24,215
friends,24,462
verified,24,0
created_at,24,2019-07-29 01:15:18.000000
statuses,24,15411
id,25,25
name,25,arfmcu
user_id,25,2938414510
followers,25,199
friends,25,643
verified,25,0
created_at,25,2014-12-23 15:12:34.000000
statuses,25,19013
id,26,26
name,26,auded__
user_id,26,387346022
followers,26,472
friends,26,147
verified,26,0
created_at,26,2011-10-08 22:02:20.000000
statuses,26,69019
id,27,27
name,27,JaySox420
user_id,27,763161558251896832
followers,27,1119
friends,27,152
verified,27,0
created_at,27,2016-08-09 23:54:29.000000
statuses,27,17429
id,28,28
name,28,Bearrd_Gawdd
user_id,28,314137916
followers,28,919
friends,28,916
verified,28,0
created_at,28,2011-06-09 19:33:58.000000
statuses,28,36817
id,29,29
name,29,DozoDter
user_id,29,1166802178213892103
followers,29,2
friends,29,103
verified,29,0
created_at,29,2019-08-28 19:58:24.000000
statuses,29,74
id,30,30
name,30,_mlyndaaa
user_id,30,3426171131
followers,30,650
friends,30,262
verified,30,0
created_at,30,2015-08-16 16:12:51.000000
statuses,30,230002
id,31,31
name,31,Maveric95988932
user_id,31,1074696464956305408
followers,31,102
friends,31,846
verified,31,0
created_at,31,2018-12-17 16:02:58.000000
statuses,31,10392
id,32,32
name,32,AssouanDejna
user_id,32,1496041695712006145
followers,32,6
friends,32,15
verified,32,0
created_at,32,2022-02-22 08:39:27.000000
statuses,32,962
id,33,33
name,33,AirTunji_25
user_id,33,236685946
followers,33,870
friends,33,1044
verified,33,0
created_at,33,2011-01-11 04:16:06.000000
statuses,33,24897
id,34,34
name,34,true_lyly
user_id,34,878023780676890624
followers,34,91
friends,34,142
verified,34,0
created_at,34,2017-06-22 22:55:57.000000
statuses,34,9718
id,35,35
name,35,AbeilleCynique
user_id,35,1453774529076006913
followers,35,38
friends,35,80
verified,35,0
created_at,35,2021-10-28 17:24:14.000000
statuses,35,1706
id,36,36
name,36,caro_army_
user_id,36,1531899165558571008
followers,36,39
friends,36,184
verified,36,0
created_at,36,2022-06-01 07:23:28.000000
statuses,36,1264
id,37,37
name,37,elo_hope
user_id,37,282193699
followers,37,1084
friends,37,464
verified,37,0
created_at,37,2011-04-14 18:48:03.000000
statuses,37,97291
id,38,38
name,38,Mi_Leine
user_id,38,1499334722379522053
followers,38,4
friends,38,47
verified,38,0
created_at,38,2022-03-03 10:44:27.000000
statuses,38,237
id,39,39
name,39,StartWithThis
user_id,39,1413267168
followers,39,4358
friends,39,1167
verified,39,0
created_at,39,2013-05-08 16:44:00.000000
statuses,39,48860
id,40,40
name,40,enessubasi4
user_id,40,355788998
followers,40,302
friends,40,775
verified,40,0
created_at,40,2011-08-15 22:03:47.000000
statuses,40,28356
id,41,41
name,41,potam1304
user_id,41,961633504202313729
followers,41,45465
friends,41,25972
verified,41,0
created_at,41,2018-02-08 16:11:08.000000
statuses,41,259628
id,42,42
name,42,SanjuSandeep98
user_id,42,763584284905074688
followers,42,426
friends,42,285
verified,42,0
created_at,42,2016-08-11 03:54:15.000000
statuses,42,21761
id,43,43
name,43,A5PHYXI413_MSV
user_id,43,18851009
followers,43,346
friends,43,960
verified,43,0
created_at,43,2009-01-10 23:50:27.000000
statuses,43,116365
id,44,44
name,44,shayaksinharay
user_id,44,1067774181905977344
followers,44,5
friends,44,144
verified,44,0
created_at,44,2018-11-28 13:36:18.000000
statuses,44,46
id,45,45
name,45,SamriddhSaxena
user_id,45,1030863520299024384
followers,45,15
friends,45,94
verified,45,0
created_at,45,2018-08-18 17:06:30.000000
statuses,45,702
id,46,46
name,46,mehrasahab18
user_id,46,1525462588561461250
followers,46,59
friends,46,232
verified,46,0
created_at,46,2022-05-14 13:07:05.000000
statuses,46,1460
id,47,47
name,47,TirupatiTalkies
user_id,47,1415491378935570434
followers,47,692
friends,47,0
verified,47,0
created_at,47,2021-07-15 02:00:34.000000
statuses,47,1811
id,48,48
name,48,HelloMawa123
user_id,48,1398657585662681095
followers,48,77
friends,48,1778
verified,48,0
created_at,48,2021-05-29 15:09:05.000000
statuses,48,9008
id,49,49
name,49,SumiaraAhmed
user_id,49,1408842095926857730
followers,49,4
friends,49,42
verified,49,0
created_at,49,2021-06-26 17:38:35.000000
statuses,49,76
id,50,50
name,50,AMiddayVoyage
user_id,50,1075153689600380929
followers,50,20
friends,50,2
verified,50,0
created_at,50,2018-12-18 22:19:49.000000
statuses,50,45386
id,51,51
name,51,E4Entmnt
user_id,51,1528493078193270784
followers,51,493
friends,51,270
verified,51,0
created_at,51,2022-05-22 21:48:59.000000
statuses,51,3497
id,52,52
name,52,mrsurya116
user_id,52,1347364704029560832
followers,52,14
friends,52,20
verified,52,0
created_at,52,2021-01-08 02:09:29.000000
statuses,52,356
id,53,53
name,53,LinkInMedia1
user_id,53,1561771676747984896
followers,53,19
friends,53,0
verified,53,0
created_at,53,2022-08-22 17:46:15.000000
statuses,53,748
id,54,54
name,54,SKsunil2829
user_id,54,1129457859123527682
followers,54,16
friends,54,29
verified,54,0
created_at,54,2019-05-17 18:45:12.000000
statuses,54,638
id,55,55
name,55,box_oficeIndian
user_id,55,969157263553277952
followers,55,97697
friends,55,0
verified,55,0
created_at,55,2018-03-01 10:27:52.000000
statuses,55,23253
id,56,56
name,56,TollyStats
user_id,56,1352258850682880000
followers,56,16052
friends,56,48
verified,56,0
created_at,56,2021-01-21 14:17:06.000000
statuses,56,1090
id,57,57
name,57,ranting_ai
user_id,57,1566151898696130560
followers,57,0
friends,57,0
verified,57,0
created_at,57,2022-09-03 19:51:43.000000
statuses,57,413
id,58,58
name,58,BeyondPremiere
user_id,58,157043907
followers,58,314
friends,58,814
verified,58,0
created_at,58,2010-06-18 17:50:52.000000
statuses,58,12457
id,59,59
name,59,ShaneHubbard28
user_id,59,1498904402
followers,59,405
friends,59,259
verified,59,0
created_at,59,2013-06-10 17:46:44.000000
statuses,59,1799
id,60,60
name,60,vivek1252vkr
user_id,60,1518094729417682945
followers,60,73
friends,60,140
verified,60,0
created_at,60,2022-04-24 05:09:37.000000
statuses,60,3753
id,61,61
name,61,zeusjdo
user_id,61,1484373741349924877
followers,61,4
friends,61,17
verified,61,0
created_at,61,2022-01-21 03:54:22.000000
statuses,61,98
id,62,62
name,62,aravindhram
user_id,62,46402987
followers,62,206
friends,62,609
verified,62,0
created_at,62,2009-06-11 14:53:04.000000
statuses,62,10449
id,63,63
name,63,chinu_bhai
user_id,63,51171889
followers,63,337
friends,63,189
verified,63,0
created_at,63,2009-06-26 18:40:00.000000
statuses,63,17439
id,64,64
name,64,KingJayden981
user_id,64,1187150510001967110
followers,64,83
friends,64,238
verified,64,0
created_at,64,2019-10-23 23:35:38.000000
statuses,64,1326
id,65,65
name,65,mokshnigam_
user_id,65,1564663442426183680
followers,65,35
friends,65,64
verified,65,0
created_at,65,2022-08-30 17:17:36.000000
statuses,65,550
id,66,66
name,66,MrIppikodoku
user_id,66,839586899668922372
followers,66,174
friends,66,468
verified,66,0
created_at,66,2017-03-08 21:21:30.000000
