id,name,user_id,followers_count,friends_count,verified,created_at,status_count
1,A_lifeis,124827332,490,265,0,"2010-03-20 18:14:13.000000",41686
2,TheWriteSteph,138281573,3884,4994,0,"2010-04-29 03:27:19.000000",152625
3,Trevenclaw,177265188,375,1057,0,"2010-08-11 17:54:50.000000",35687
4,SidelineWitness,835110147290775554,40,144,0,"2017-02-24 12:52:29.000000",4827
5,AkeemJWright,1522334604136308740,80,74,0,"2022-05-05 21:57:23.000000",69
6,Leodu84,2159697685,1055,2126,0,"2013-10-27 21:54:54.000000",97949
7,Juxseries,1080191701459890183,905,2757,0,"2019-01-01 19:59:05.000000",74713
8,esty06,66332964,1013,825,0,"2009-08-17 11:25:44.000000",128008
9,Tajima_Kazuki93,1542844362,788,2821,0,"2013-06-24 09:04:55.000000",6721
10,Lolo__Nor,3301547466,252,426,0,"2015-07-30 14:31:27.000000",24655
11,miaerr83,924567683831607298,213,200,0,"2017-10-29 09:24:48.000000",9869
12,misspriscillia,105257742,399,875,0,"2010-01-15 21:13:39.000000",44667
13,dianee_23,1321088147804049408,146,279,0,"2020-10-27 13:55:48.000000",2000
14,StarkVideo,1234648111240314882,346,2510,0,"2020-03-03 01:13:56.000000",97
15,SamCineSerie,1364871922861961217,46,126,0,"2021-02-25 09:37:04.000000",598
16,LesAutresCNous,1500416654072848386,15,98,0,"2022-03-06 10:23:19.000000",683
17,Arnaaud91,1337539099,739,343,0,"2013-04-08 20:25:27.000000",78532
18,RShojun,1408108436911439887,110,584,0,"2021-06-24 17:03:18.000000",452
19,Lucy__xxii,1031646069036343298,99,72,0,"2018-08-20 20:56:04.000000",33716
20,obrienperales,856604900,1237,887,0,"2012-10-01 16:05:52.000000",50168
21,AlizeeRafali,1129084148122042369,27,18,0,"2019-05-16 18:00:13.000000",1273
22,duaaxgmz,3740518276,735,721,0,"2015-09-22 16:22:31.000000",66007
23,JujuKerol,774208831,598,252,0,"2012-08-22 18:12:09.000000",55527
24,redingirl,1155647955661205504,215,462,0,"2019-07-29 01:15:18.000000",15411
25,arfmcu,2938414510,199,643,0,"2014-12-23 15:12:34.000000",19013
26,auded__,387346022,472,147,0,"2011-10-08 22:02:20.000000",69019
27,JaySox420,763161558251896832,1119,152,0,"2016-08-09 23:54:29.000000",17429
28,Bearrd_Gawdd,314137916,919,916,0,"2011-06-09 19:33:58.000000",36817
29,DozoDter,1166802178213892103,2,103,0,"2019-08-28 19:58:24.000000",74
30,_mlyndaaa,3426171131,650,262,0,"2015-08-16 16:12:51.000000",230002
31,Maveric95988932,1074696464956305408,102,846,0,"2018-12-17 16:02:58.000000",10392
32,AssouanDejna,1496041695712006145,6,15,0,"2022-02-22 08:39:27.000000",962
33,AirTunji_25,236685946,870,1044,0,"2011-01-11 04:16:06.000000",24897
34,true_lyly,878023780676890624,91,142,0,"2017-06-22 22:55:57.000000",9718
35,AbeilleCynique,1453774529076006913,38,80,0,"2021-10-28 17:24:14.000000",1706
36,caro_army_,1531899165558571008,39,184,0,"2022-06-01 07:23:28.000000",1264
37,elo_hope,282193699,1084,464,0,"2011-04-14 18:48:03.000000",97291
38,Mi_Leine,1499334722379522053,4,47,0,"2022-03-03 10:44:27.000000",237
39,StartWithThis,1413267168,4358,1167,0,"2013-05-08 16:44:00.000000",48860
40,enessubasi4,355788998,302,775,0,"2011-08-15 22:03:47.000000",28356
41,potam1304,961633504202313729,45465,25972,0,"2018-02-08 16:11:08.000000",259628
42,SanjuSandeep98,763584284905074688,426,285,0,"2016-08-11 03:54:15.000000",21761
43,A5PHYXI413_MSV,18851009,346,960,0,"2009-01-10 23:50:27.000000",116365
44,shayaksinharay,1067774181905977344,5,144,0,"2018-11-28 13:36:18.000000",46
45,SamriddhSaxena,1030863520299024384,15,94,0,"2018-08-18 17:06:30.000000",702
46,mehrasahab18,1525462588561461250,59,232,0,"2022-05-14 13:07:05.000000",1460
47,TirupatiTalkies,1415491378935570434,692,0,0,"2021-07-15 02:00:34.000000",1811
48,HelloMawa123,1398657585662681095,77,1778,0,"2021-05-29 15:09:05.000000",9008
49,SumiaraAhmed,1408842095926857730,4,42,0,"2021-06-26 17:38:35.000000",76
50,AMiddayVoyage,1075153689600380929,20,2,0,"2018-12-18 22:19:49.000000",45386
51,E4Entmnt,1528493078193270784,493,270,0,"2022-05-22 21:48:59.000000",3497
52,mrsurya116,1347364704029560832,14,20,0,"2021-01-08 02:09:29.000000",356
53,LinkInMedia1,1561771676747984896,19,0,0,"2022-08-22 17:46:15.000000",748
54,SKsunil2829,1129457859123527682,16,29,0,"2019-05-17 18:45:12.000000",638
55,box_oficeIndian,969157263553277952,97697,0,0,"2018-03-01 10:27:52.000000",23253
56,TollyStats,1352258850682880000,16052,48,0,"2021-01-21 14:17:06.000000",1090
57,ranting_ai,1566151898696130560,0,0,0,"2022-09-03 19:51:43.000000",413
58,BeyondPremiere,157043907,314,814,0,"2010-06-18 17:50:52.000000",12457
59,ShaneHubbard28,1498904402,405,259,0,"2013-06-10 17:46:44.000000",1799
60,vivek1252vkr,1518094729417682945,73,140,0,"2022-04-24 05:09:37.000000",3753
61,zeusjdo,1484373741349924877,4,17,0,"2022-01-21 03:54:22.000000",98
62,aravindhram,46402987,206,609,0,"2009-06-11 14:53:04.000000",10449
63,chinu_bhai,51171889,337,189,0,"2009-06-26 18:40:00.000000",17439
64,KingJayden981,1187150510001967110,83,238,0,"2019-10-23 23:35:38.000000",1326
65,mokshnigam_,1564663442426183680,35,64,0,"2022-08-30 17:17:36.000000",550
66,MrIppikodoku,839586899668922372,174,468,0,"2017-03-08 21:21:30.000000",26887
67,playyyball,78033543,468,921,0,"2009-09-28 14:55:13.000000",10401
68,The_Yzulf,593838053,330,412,0,"2012-05-29 16:23:31.000000",9484
69,JackNefarious,3090573899,511,1982,0,"2015-03-13 04:21:24.000000",38088
70,MJB_30,2547392351,1338,969,0,"2014-05-14 13:51:05.000000",104016
71,NightOwlGrrl,2924898505,152,264,0,"2014-12-10 00:34:43.000000",19917
72,YankeeJosh,32258349,1035,979,0,"2009-04-17 02:17:44.000000",230330
73,AhmadRehanKhan,374119756,2210,1416,0,"2011-09-15 18:58:17.000000",3309
74,pr_nvGarg,1489891855,29,93,0,"2013-06-07 08:33:35.000000",1196
75,jirahnicoletv,735322042535444480,307,57,0,"2016-05-25 04:10:11.000000",4134
76,IssaMerk,1238833518488281088,28,27,0,"2020-03-14 14:25:09.000000",1717
77,SAMTHEBESTEST_,1220046930236936192,2343,51,0,"2020-01-22 18:14:01.000000",31148
78,LeanguruHK,1419490266533277696,123,240,0,"2021-07-26 02:51:51.000000",8949
79,AGMEDIANEWS,1569621367,9627,54,0,"2013-07-05 03:15:48.000000",11527
80,BlogDrive,978044029,28857,10,0,"2012-11-29 10:08:40.000000",18077
81,RadhikaShines_,1263372642767253504,1446,741,0,"2020-05-21 07:35:11.000000",101428
82,StefanSommer,18951560,100,413,0,"2009-01-13 20:19:43.000000",3431
83,SouvikNaha,905747441638617090,601,572,0,"2017-09-07 10:59:52.000000",460
84,silkyreds,115426626,176,283,0,"2010-02-18 16:32:56.000000",16276
85,CharityWhatever,389708024,386,2210,0,"2011-10-12 21:36:08.000000",16635
86,SameUnknownGuy,1558895815447531522,3,14,0,"2022-08-14 19:18:39.000000",55
87,AyebeLamAnthony,488667691,397,103,0,"2012-02-10 18:14:28.000000",101602
88,StarkMeet,1267745147011379200,11,319,0,"2020-06-02 09:09:40.000000",173
89,DjBigmyk,407172949,2762,246,0,"2011-11-07 18:49:28.000000",29723
90,widowskairipa,1296529205044416514,855,827,0,"2020-08-20 19:27:28.000000",30866
91,BrandonKatie30,1558240704601755649,1965,2155,0,"2022-08-12 23:55:22.000000",2418
92,Patreadsthenews,468813475,96,495,0,"2012-01-19 23:10:37.000000",14748
93,abhinavgoyal_29,888341522881564672,10,40,0,"2017-07-21 10:14:58.000000",277
94,Im_Archo,1422142187647553540,4,92,0,"2021-08-02 10:28:29.000000",178
95,quarantine_lean,1293267557823254528,0,0,0,"2020-08-11 19:26:40.000000",2
96,KollyUpdates,2546172990,80984,131,0,"2014-06-04 13:49:20.000000",23646
97,MooseJawn__,1344145439747145728,119,93,0,"2020-12-30 04:57:13.000000",377
98,CometsixSim,1283022968,26,97,0,"2013-03-20 11:27:56.000000",4634
99,SHIELDZephyrOne,3134622627,682,4985,0,"2015-04-04 18:20:18.000000",182857
100,SMarvel19,1297157693434560516,201,948,0,"2020-08-22 13:04:43.000000",4121
101,UrstrulyUday99,1025695360214163456,1848,1738,0,"2018-08-04 10:50:05.000000",19434
102,pragnyaprasad,1469386040,214,408,0,"2013-05-30 09:57:32.000000",2575
103,SinghG_B3,1519009882409558016,0,5,0,"2022-04-26 17:46:12.000000",77
104,TheTimesWOW,764896776994205696,894,700,0,"2016-08-14 18:49:37.000000",5796
105,MrPeterLMorris,1288408269497741312,869,303,0,"2020-07-29 09:37:31.000000",12854
106,Trovon_Williams,28968354,943,1190,1,"2009-04-05 10:15:28.000000",23919
107,TheFateGames1,1564990509864681475,182,35,0,"2022-08-31 14:56:50.000000",254
108,dmanish98,1493178081485283329,17,243,0,"2022-02-14 10:59:47.000000",39
109,SandeepLoyalka,823280978,257,106,0,"2012-09-14 13:14:47.000000",17706
110,atulakki8,1161563323189456896,2225,2813,0,"2019-08-14 09:00:51.000000",24808
111,Love4mAdil,1428803363408277504,1228,143,0,"2021-08-20 19:37:30.000000",7278
112,247iamher,990675318158458881,160,200,0,"2018-04-29 19:32:56.000000",158
113,laney3111,25250307,245,1114,0,"2009-03-19 06:24:40.000000",16544
114,ravindra1512,164134400,64,92,0,"2010-07-08 03:34:43.000000",3028
115,PrinceM78356440,1207365077134958599,38,114,0,"2019-12-18 18:20:58.000000",6036
116,Ashutosh150799,922818666210533381,32,301,0,"2017-10-24 13:34:49.000000",73
117,BeingPrabhas7,1562421399775760385,47,558,0,"2022-08-24 12:48:19.000000",1237
118,IAmAwesomAngelo,4644934932,7,132,0,"2015-12-24 19:44:43.000000",299
119,TheTypewriterQ,1442471158780100623,282,846,0,"2021-09-27 12:49:11.000000",3409
120,MuyiwaBraimoh,971064717400829955,222,264,0,"2018-03-06 16:47:24.000000",20571
121,BigScreenTicket,1665745004,11599,318,0,"2013-08-12 18:34:01.000000",103697
122,shamilrocks,589381030,178,512,0,"2012-05-24 19:55:01.000000",574
